account,sector,year_established,revenue,employees,office_location,subsidiary_of
Clearwater Ventures,logistics,2010,1841.88,2316,India,
Nexus Solutions,technology,1992,806.56,2671,Spain,
Vertex Inc,logistics,1989,1954.6,9813,Brazil,
Highland LLC,real estate,1985,3417.4,1926,Singapore,
Lakeshore Group,manufacturing,2006,602.18,7173,United Kingdom,
Vortex Technologies,manufacturing,2017,3821.71,8367,UAE,
Harbor Technologies,manufacturing,2017,3064.4,2554,Australia,
Pines Systems,real estate,2018,4596.54,9863,Australia,
Brightfield Global,healthcare,2008,4399.67,5088,Germany,
Crestview Global,logistics,1990,473.98,8012,Sweden,
Elms Inc,finance,1993,3315.77,9057,United Kingdom,Brightfield Global
Redpoint Inc,logistics,2012,4823.6,8885,Spain,
Valley Global,retail,2004,2025.01,6168,Brazil,
Ironwood Solutions,energy,1992,1277.13,1099,Australia,
Zenith Global,retail,1999,85.59,1014,Germany,Brightfield Global
Midpoint Dynamics,telecommunications,1989,2595.07,4612,Singapore,Clearwater Ventures
Quanta Solutions,real estate,1993,3630.6,9405,Mexico,
Dynamo Group,energy,2011,992.53,1638,Singapore,
Aspen Technologies,education,2011,2361.77,937,Singapore,
Orbis Systems,healthcare,1988,2042.98,5609,Spain,
Perseus Partners,retail,1997,991.53,7400,United Kingdom,
Atlas Group,manufacturing,2014,1286.54,1285,Brazil,
Sirius Partners,real estate,1991,300.41,8906,Sweden,
Vega Solutions,retail,1995,2061.75,7936,Germany,Nexus Solutions
Stratos Inc,technology,1995,1925.92,6446,France,
Prism Group,energy,2003,2143.89,9155,Singapore,
Northgate LLC,finance,1997,1518.7,1008,Mexico,
Coast Co,technology,2005,332.97,9621,Brazil,
Crossroads Systems,real estate,1995,331.55,8370,Canada,
Solara Technologies,healthcare,1989,3392.3,3903,Japan,
Westfall Group,retail,1987,3115.94,6918,Singapore,Crestview Global
Raven Dynamics,real estate,2005,4676.8,3396,Singapore,
Rigel Co,retail,2001,2009.14,4965,Brazil,
Oaks Solutions,healthcare,1985,2318.51,9274,Canada,
Eastbrook Co,real estate,2001,705.66,5768,UAE,Highland LLC
Orion Co,telecommunications,2003,830.85,8950,Netherlands,Highland LLC
Goldridge Global,real estate,1985,3355.92,9136,France,
Apex Group,healthcare,1993,1359.11,1803,Netherlands,
Summit Solutions,manufacturing,2003,3043.91,5667,Germany,
Birch Co,manufacturing,2017,2468.23,882,Canada,
Eagle Global,manufacturing,1987,67.55,2193,Singapore,
Southshore Partners,finance,2013,2780.82,7057,India,
Willow Group,finance,2019,228.34,6099,Mexico,Nexus Solutions
Cypress Global,education,1993,257.05,6024,UAE,
Titan LLC,technology,2007,1089.88,4138,Singapore,
Falcon Systems,education,1994,4632.53,3928,Sweden,Brightfield Global
Silverline Co,finance,2011,172.69,5492,Spain,
Riverside Corp,retail,2002,838.03,1821,Japan,
Pinnacle Technologies,energy,1999,1037.89,7591,Australia,
Meadows Technologies,retail,1999,167.14,3214,Japan,
Plains Partners,healthcare,2002,1788.17,8396,Japan,
Maple Group,real estate,2006,4699.22,1939,UAE,
Bluestone Global,finance,2001,239.37,9824,Japan,
Helix Dynamics,telecommunications,2012,3050.73,8429,Canada,
Cedar Ventures,logistics,1997,1310.88,7194,United States,
Ridge Group,real estate,1997,1852.9,1196,Singapore,
Hawk Dynamics,logistics,2005,3333.77,2091,Netherlands,
Griffin Solutions,real estate,2004,3351.12,5394,Japan,
Canyon Global,real estate,1993,999.61,6261,Singapore,
Phoenix LLC,finance,2004,2060.07,56,France,
Meridian LLC,education,2005,2351.69,7294,Singapore,
Bayview Corp,energy,1995,3311.31,4699,India,
